algoritmo,rank_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,mean_test_recall,mean_test_precision,mean_test_f1,mean_test_accuracy,parametros
LogisticRegression,1,0.8919044091597155,0.013578812711855895,0.7350819672131148,0.7809936183025087,0.7570626734844417,0.8230958230958232,"{""C"": 14.528246637516036, ""penalty"": ""l2""}"
LogisticRegression,2,0.8918618957132274,0.013449732341233141,0.7344262295081967,0.7796860088469553,0.7561096900486717,0.8223587223587223,"{""C"": 55.51721685244721, ""penalty"": ""l2""}"
LogisticRegression,3,0.891852877709427,0.013455169614521763,0.7344262295081967,0.7796860088469553,0.7561096900486717,0.8223587223587223,"{""C"": 73.92266140516048, ""penalty"": ""l1""}"
LogisticRegression,4,0.8917085896486199,0.013888181704936572,0.7318032786885246,0.7795639393416768,0.7547003927165251,0.8216216216216216,"{""C"": 3.4702669886504163, ""penalty"": ""l2""}"
LogisticRegression,5,0.8915385358626688,0.01363528047612656,0.7298360655737706,0.7774370130863983,0.7526612724481263,0.8201474201474201,"{""C"": 1.1435780278433403, ""penalty"": ""l1""}"
LogisticRegression,6,0.8914728332635512,0.01358605602084655,0.7298360655737705,0.7774079358543424,0.7526549692747313,0.8201474201474201,"{""C"": 1.0907475835157696, ""penalty"": ""l1""}"
LogisticRegression,7,0.8914599504009789,0.013525397946566646,0.7311475409836066,0.7782986814314656,0.7537440353277385,0.8208845208845208,"{""C"": 0.9846738873614566, ""penalty"": ""l1""}"
LogisticRegression,8,0.8908557441463494,0.014190005344116468,0.7252459016393443,0.7800459199813261,0.7514449818969207,0.8201474201474201,"{""C"": 1.2357483710912178, ""penalty"": ""l2""}"
LogisticRegression,9,0.8907397983832007,0.0142829457431251,0.7245901639344263,0.7792667483025724,0.7507504336402121,0.8196560196560195,"{""C"": 1.1219752813215704, ""penalty"": ""l2""}"
LogisticRegression,10,0.8899526554800478,0.013359550010413465,0.7160655737704917,0.7787233223409008,0.7458291667669839,0.8171990171990172,"{""C"": 0.4206039057901998, ""penalty"": ""l1""}"
LogisticRegression,11,0.8894347644046506,0.014673594834134735,0.7186885245901639,0.7822607432953148,0.7489958772395238,0.8194103194103194,"{""C"": 0.6553013900933984, ""penalty"": ""l2""}"
LogisticRegression,12,0.8876485555090341,0.01331716621442497,0.6963934426229509,0.7799017637645352,0.7355882780704562,0.8125307125307126,"{""C"": 0.21568228019263963, ""penalty"": ""l1""}"
LogisticRegression,13,0.8873078037940031,0.015165162020208293,0.7049180327868853,0.7830518832080697,0.7417572559746671,0.815970515970516,"{""C"": 0.37253938395788866, ""penalty"": ""l2""}"
LogisticRegression,14,0.8866604399497569,0.013416045458311942,0.6944262295081968,0.7783274987284025,0.7338023590441984,0.8113022113022114,"{""C"": 0.19069966103000435, ""penalty"": ""l1""}"
LogisticRegression,15,0.8856903603980804,0.013488531221192014,0.6885245901639344,0.7762221104015434,0.7295926013897369,0.8088452088452088,"{""C"": 0.16949768237884735, ""penalty"": ""l1""}"
LogisticRegression,16,0.8851859963283841,0.013643984638788163,0.6839344262295082,0.7734054672539026,0.7257661085354451,0.8063882063882064,"{""C"": 0.15876781526924, ""penalty"": ""l1""}"
LogisticRegression,17,0.8844439434442334,0.01386411074623649,0.6780327868852459,0.772009919772316,0.7218303374345278,0.8041769041769042,"{""C"": 0.14445251022763064, ""penalty"": ""l1""}"
LogisticRegression,18,0.8824393700280202,0.015393435345238654,0.6727868852459016,0.7783028818370251,0.72140054006787,0.8054054054054054,"{""C"": 0.17885301261862016, ""penalty"": ""l2""}"
LogisticRegression,19,0.8759026055589553,0.01595417076638555,0.6386885245901639,0.7704178676298372,0.6981655614734126,0.7931203931203932,"{""C"": 0.09022004468565618, ""penalty"": ""l2""}"
LogisticRegression,20,0.8727791555283584,0.016407523239479468,0.640655737704918,0.7728282083130616,0.7004685012915044,0.7945945945945946,"{""C"": 0.0745934328572655, ""penalty"": ""l1""}"
LogisticRegression,21,0.8682939869238944,0.017028014383850567,0.598688524590164,0.7689769582515188,0.6730016204098928,0.7820638820638821,"{""C"": 0.04661686413912769, ""penalty"": ""l2""}"
LogisticRegression,22,0.853687397339689,0.018276710996758313,0.5239344262295081,0.7712576277138822,0.6234868973387107,0.7631449631449632,"{""C"": 0.014271483774997193, ""penalty"": ""l2""}"
LogisticRegression,23,0.8468620567490097,0.01936540747565737,0.4727868852459016,0.7833273179500465,0.5894157026129812,0.7533169533169533,"{""C"": 0.008263688714158009, ""penalty"": ""l2""}"
LogisticRegression,24,0.846858191890238,0.01936835669113074,0.4727868852459016,0.7833273179500465,0.5894157026129812,0.7533169533169533,"{""C"": 0.008260808399079604, ""penalty"": ""l2""}"
LogisticRegression,25,0.8424838159038938,0.018811577080066276,0.5291803278688525,0.7261389829602342,0.6117004853993476,0.7488943488943488,"{""C"": 0.03334792728637585, ""penalty"": ""l1""}"
LogisticRegression,26,0.8406177332603303,0.02068143107492909,0.3914754098360655,0.7921811906208023,0.5235057923728536,0.7334152334152335,"{""C"": 0.004982752357076452, ""penalty"": ""l2""}"
